id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM2328918	0.367919452949247	0	0.000741110290695244	0	0	0.0248106877525945	0.019557523717952	0.126757559020534	0	0.155164843647449	0	0.0148164473051977	0	0.18223954604257	0.0269961938880122	0.061003230442787	0	0	0.0162263771546434	0	0	0.00376702778831781
GSM2328919	0.0236573789651466	0	0.0166677241897798	0.182656878803356	0.00825122700361261	0	0.175773274070163	0.050739493439164	0	0.160426156761942	0	0.0454616800355417	0	0.0423978189363137	0.0520437272806108	0.0954815052072314	0.00347589329181135	0.0867217202248128	0.0132350702874331	0	0.0270365569671389	0.0159738945359427
GSM2328920	0.0812586240754171	0.0118419238291869	0	0	0.0570950739367577	0	0.0397168829872718	0.113246533105095	0	0.330324602053331	0	0.0174636858143211	0	0.146487566002413	0.0835754027686818	0.0913375658336253	0	0	0	0.0194035462232366	0	0.00824859337066357
GSM2328921	0.205621017890486	0	0	0	0	0.195854232264583	0.0784482443277721	0.116113364612327	0	0.228367578615879	0	0	0	0.124630571669522	0.0180034400541919	0.0270655458703324	0	0	0.0031692962843758	0	0	0.0027267084105324
GSM2328922	0.10426519674485	0	0	0.0419685697990908	0	0.0615900696018723	0.0500366493074752	0.057356986597767	0	0.223201100542621	0	0	0	0.281937681576133	0.0592620622117749	0.0295306696986736	0	0	0	0.0864121667542844	0	0.00443884716545749
GSM2328923	0.173089488089483	0	0	0	0	0.0651123239561814	0.0454085917985298	0.100199934648567	0.0179257954418714	0.143011765412733	0	0	0	0.310461300961911	0.0679966860045853	0.0563701112049825	0	0	0.0145501841051456	0	0	0.00587381837600881
GSM2328924	0.0759864307618166	0	0.0421582455138667	0.0220865384693544	0	0	0	0.0998690675260528	0	0.328593432216585	0	0.0473890383839076	0	0.261721808634821	0.0787642718925953	0.0279831821366008	0	0	0	0.0124478618248553	0	0.00300012263954393
GSM2328925	0	0	0.037345550038903	0.189567393755881	0	0	0.138236961885778	0.0722311967758874	0	0.25357304243799	0	0.0907568143808378	0	0.0607221810415544	0.0751163241075861	0.0463359152497311	0.0131260673553582	0	0	0.00539498126979633	0	0.0175935717006966
GSM2328926	0.0985538404892495	0	0	0	0	0.0209441825867279	0.0266373767349509	0.102030482995888	0	0.397231702291558	0	0	0	0.17507525834427	0.0786425480438857	0.0751557628486228	0	0	0	0.0172381210248804	0.00153641973297287	0.00695430490699399
GSM2328927	0.0146319238623387	0	0.00352288209845084	0	0.156609846429366	0	0.268681153204955	0.0855765410535043	0	0.144980652320479	0.0617346259008534	0	0	0.129341940698628	0.112358743848203	0.0183182630400286	0.001106687747649	0	0.00313673979554526	0	0	0
GSM2328928	0.152745034729554	0	0.0571292679484652	0	0.0921122325139539	0.0293318925112361	0.0588590025578268	0.101376016981796	0	0.232673309697324	0	0	0	0.129461593051862	0.0584171864284743	0.0613680103882457	0	0	0	0.0197502649201782	0.000276368244099371	0.00649982002698606
